"","probeids","t_stat","p.values","p_adjusted"
"675","213241_at",12.7444009064134,3.82091940197927e-24,2.07727220201772e-23
"676","213316_at",18.4058592029695,8.74736309520749e-32,1.03815603866377e-30
"677","213369_at",-5.13988423653535,1.01664677388593e-06,1.68816291845918e-06
"678","213371_at",5.30374153024114,1.71595053585402e-06,2.8127626021333e-06
"679","213413_at",21.3287956643723,4.01896972210608e-41,3.0765213222722e-39
"680","213418_at",5.81599508886136,5.59328334185978e-08,9.86557234606834e-08
"681","213429_at",18.417963631852,1.04028219606046e-37,3.53927120481903e-36
"682","213432_at",-6.12551537209895,1.04029837317926e-08,1.90742132854784e-08
"683","213438_at",4.8573857184414,5.23256694519499e-06,8.36227556690348e-06
"684","213456_at",-3.54037090471236,0.000570870707054135,0.000807020362419096
"685","213472_at",-0.0449074643514289,0.964262804090442,0.966788705345426
"686","213479_at",4.52038043075143,1.50577291510654e-05,2.32862457881627e-05
"687","213537_at",6.84543324287587,3.84492754013218e-10,7.49883320247435e-10
"688","213558_at",-4.61266284005813,9.35488607168227e-06,1.47046515151392e-05
"689","213674_x_at",0.883115885267751,0.378842999607139,0.415672301458306
"690","213680_at",1.55416529652805,0.123165301408953,0.145171539829237
"691","213714_at",-2.22529076635534,0.0279176871671429,0.0350344090597507
"692","213764_s_at",12.8276119365399,1.00530967026358e-19,3.87689950925324e-19
"693","213765_at",13.725176668598,5.52968681732321e-21,2.31943849789639e-20
"694","213790_at",12.5664228622545,3.47513082487992e-20,1.3819286475042e-19
"695","213791_at",8.18999429735069,1.89869522538534e-11,3.99849022017187e-11
"696","213796_at",1.20472444568756,0.23107224531828,0.261859072969865
"697","213797_at",10.2310123039793,1.03288525444924e-17,3.3934491943386e-17
"698","213800_at",17.1492966188339,2.06041618859685e-33,2.91952845941754e-32
"699","213817_at",8.41036654139368,3.22000279172646e-13,7.69083350098784e-13
"700","213831_at",3.48488609020657,0.00071540560051768,0.00100577224462127
"701","213832_at",4.07233750148438,8.16527703948372e-05,0.000121605439177525
"702","213880_at",-2.09942675460866,0.0380949441562382,0.0472253923102839
"703","213894_at",9.76809802661517,1.32067377437106e-14,3.43285492115806e-14
"704","213895_at",5.78748404262986,7.31659701694977e-08,1.2816601868364e-07
"705","213905_x_at",17.6175127491828,2.28795719472107e-36,5.4732226017468e-35
"706","213906_at",3.79759456154371,0.000266572258709266,0.000382853778690324
"707","213909_at",9.68137653159969,8.32471017976732e-15,2.19743642848686e-14
"708","213933_at",14.3931129240026,8.52249106852426e-24,4.43807272990158e-23
"709","213943_at",12.713602916329,1.39529344885713e-23,7.19257330033759e-23
"710","213953_at",-5.97957774992559,9.96519544424994e-08,1.73174962827998e-07
"711","213954_at",-4.74423878125603,5.46062544903441e-06,8.70855996090801e-06
"712","213974_at",8.26241673827292,1.28145385292399e-11,2.71732112025849e-11
"713","213993_at",7.14542227657323,5.93161052908968e-11,1.21733186595661e-10
"714","213994_s_at",7.47340425190494,1.02800972575808e-11,2.20123481137849e-11
"715","214012_at",2.40804082085441,0.0175333452471446,0.0225008814529576
"716","214023_x_at",3.57108981300154,0.000525022111092959,0.000744267455632704
"717","214038_at",10.5252218670766,2.51503706933531e-17,8.0219203190674e-17
"718","214043_at",-0.654323388936858,0.514044108318826,0.545770825129073
"719","214059_at",4.44415831085078,2.48048792487308e-05,3.77873334624944e-05
"720","214131_at",-1.53429587755066,0.127673743068719,0.150065573925728
"721","214135_at",-1.90981643347931,0.0583851494196296,0.0712820285179051
"722","214142_at",-9.52062507801486,3.46975996958533e-16,1.02750532174761e-15
"723","214146_s_at",2.05975377700124,0.0416505083096766,0.0514664473140556
"724","214156_at",-8.21534457651473,1.88152090002703e-13,4.55072432534184e-13
"725","214212_x_at",15.7558477367917,7.24700074113951e-28,5.33421064167528e-27
"726","214218_s_at",0.601811151099929,0.548480328102364,0.578321888653388
"727","214240_at",2.02508706550325,0.0449413292922283,0.0553541232070808
"728","214261_s_at",-8.96480498796564,3.18273602530309e-15,8.70137295489112e-15
"729","214324_at",-4.23587501288575,4.67015986051671e-05,7.03741608902666e-05
"730","214382_at",-0.199926916255284,0.841857537125439,0.853565489628509
"731","214385_s_at",-4.50457446031563,1.47710889035526e-05,2.28660638132852e-05
"732","214452_at",10.9159539986527,2.30791558536196e-17,7.39208945855474e-17
"733","214453_s_at",7.68936962101642,5.62103384508185e-12,1.22589783715389e-11
"734","214455_at",1.33150023312967,0.186059374637318,0.213375956981074
"735","214476_at",0.10431718266768,0.917140729249937,0.924995030620325
